iter	Passed	Remaining
369	50462	58645
370	50594	58503
371	50753	58393
372	50911	58282
373	51040	58136
374	51172	57995
375	51292	57840
376	51404	57676
377	51523	57520
378	51640	57363
379	51757	57205
380	51878	57052
381	51996	56897
382	52115	56741
383	52234	56587
384	52367	56447
385	52499	56307
386	52630	56166
387	52761	56025
388	52888	55879
389	53017	55735
390	53138	55584
391	53269	55443
392	53427	55331
393	53563	55195
394	53695	55054
395	53820	54907
396	54015	54832
397	54224	54769
398	54367	54640
399	54491	54491
400	54620	54348
401	54757	54212
402	54891	54074
403	55013	53923
404	55134	53773
405	55255	53622
406	55379	53474
407	55500	53323
408	55626	53178
409	55741	53022
410	55867	52877
411	56001	52738
412	56121	52588
413	56249	52444
414	56419	52340
415	56589	52236
416	56737	52111
417	56869	51971
418	57027	51855
419	57189	51743
420	57336	51616
421	57468	51476
422	57624	51357
423	57777	51236
424	57930	51114
425	58064	50976
426	58199	50839
427	58334	50701
428	58464	50560
429	58602	50425
430	58734	50285
431	58901	50175
432	59052	50051
433	59178	49906
434	59303	49760
435	59429	49615
436	59555	49470
437	59716	49355
438	59862	49226
439	59997	49089
440	60145	48962
441	60288	48831
442	60420	48690
443	60545	48545
444	60807	48509
445	60979	48400
446	61179	48313
447	61513	48332
448	61730	48257
449	61885	48132
450	62036	48006
451	62185	47877
452	62313	47732
453	62439	47585
454	62572	47445
455	62703	47302
456	62837	47162
457	62961	47015
458	63088	46869
459	63229	46735
460	63383	46609
461	63520	46471
462	63657	46333
463	63794	46195
464	63928	46055
465	64060	45914
466	64183	45766
467	64318	45627
468	64451	45487
469	64586	45347
470	64718	45206
471	64850	45065
472	64994	44932
473	65123	44789
474	65252	44646
475	65393	44511
476	65534	44376
477	65681	44245
478	65827	44114
479	65962	43975
480	66094	43834
481	66225	43692
482	66348	43545
483	66481	43405
484	66617	43267
485	66769	43139
486	66908	43002
487	67038	42860
488	67171	42720
489	67305	42580
490	67438	42440
491	67576	42304
492	67728	42175
493	67891	42054
494	68029	41917
495	68171	41782
496	68304	41642
497	68443	41505
498	68580	41368
499	68711	41226
500	68829	41077
501	68952	40932
502	69093	40796
503	69220	40653
504	69347	40510
505	69472	40365
506	69615	40231
507	69744	40089
508	69863	39941
509	69987	39796
510	70172	39686
511	70318	39554
512	70458	39418
513	70594	39280
514	70739	39147
515	70880	39011
516	71015	38872
517	71138	38728
518	71279	38592
519	71406	38449
520	71530	38304
521	71675	38171
522	71812	38034
523	71941	37892
524	72070	37751
525	72199	37609
526	72328	37468
527	72452	37323
528	72602	37193
529	72745	37059
530	72877	36919
531	73006	36777
532	73132	36634
533	73257	36491
534	73379	36346
535	73500	36201
536	73627	36059
537	73753	35917
538	73886	35777
539	74020	35639
540	74150	35499
541	74274	35355
542	74395	35211
543	74527	35071
544	74673	34939
545	74800	34797
546	74921	34652
547	75048	34511
548	75168	34366
549	75291	34223
550	75417	34081
551	75543	33939
552	75671	33798
553	75808	33662
554	75935	33520
555	76066	33381
556	76191	33239
557	76318	33098
558	76448	32958
559	76586	32822
560	76711	32680
561	76847	32544
562	76973	32402
563	77100	32261
564	77225	32120
565	77349	31978
566	77475	31837
567	77598	31695
568	77716	31550
569	77839	31408
570	77957	31265
571	78076	31121
572	78197	30978
573	78313	30834
574	78422	30686
575	78555	30549
576	78690	30412
577	78807	30268
578	78918	30122
579	79040	29980
580	79154	29836
581	79268	29691
582	79384	29548
583	79503	29405
584	79625	29264
585	79740	29120
586	79870	28982
587	79995	28841
588	80116	28700
589	80239	28559
590	80359	28418
591	80477	28275
592	80593	28133
593	80718	27993
594	80839	27852
595	80959	27710
596	81081	27570
597	81194	27426
598	81310	27284
599	81426	27142
600	81544	27000
601	81666	26860
602	81785	26719
603	81904	26578
604	82022	26436
605	82136	26294
606	82252	26152
607	82372	26012
608	82491	25871
609	82613	25731
610	82740	25593
611	82871	25457
612	82990	25316
613	83103	25174
614	83221	25034
615	83340	24893
616	83456	24752
617	83577	24613
618	83708	24476
619	83837	24339
620	83950	24198
621	84069	24058
622	84181	23916
623	84297	23776
624	84412	23635
625	84522	23493
626	84641	23353
627	84772	23218
628	84897	23080
629	85022	22942
630	85137	22802
631	85252	22661
632	85368	22522
633	85483	22382
634	85606	22244
635	85721	22104
636	85839	21965
637	85967	21828
638	86102	21693
639	86217	21554
640	86331	21414
641	86450	21276
642	86578	21139
643	86695	21000
644	86815	20862
645	86930	20723
646	87043	20583
647	87162	20445
648	87274	20305
649	87405	20170
650	87528	20033
651	87649	19895
652	87765	19757
653	87883	19619
654	88001	19481
655	88133	19346
656	88261	19210
657	88391	19075
658	88510	18937
659	88638	18802
660	88764	18665
661	88881	18528
662	89003	18391
663	89119	18253
664	89243	18117
665	89362	17979
666	89495	17845
667	89625	17710
668	89751	17574
669	89868	17437
670	89984	17299
671	90109	17163
672	90226	17026
673	90341	16888
674	90456	16751
675	90580	16615
676	90689	16476
677	90812	16340
678	90924	16203
679	91055	16068
680	91247	15944
681	91363	15807
682	91481	15670
683	91604	15535
684	91733	15400
685	91861	15265
686	91975	15128
687	92087	14991
688	92211	14855
689	92330	14719
690	92450	14583
691	92571	14447
692	92705	14313
693	92866	14184
694	92986	14048
695	93098	13911
696	93211	13774
697	93331	13638
698	93449	13502
699	93573	13367
700	93690	13231
701	93802	13094
702	93920	12959
703	94039	12823
704	94155	12687
705	94279	12552
706	94401	12417
707	94522	12282
708	94647	12147
709	94779	12014
710	94901	11879
711	95029	11745
712	95145	11609
713	95272	11475
714	95394	11340
715	95513	11205
716	95634	11070
717	95758	10936
718	95873	10800
719	95990	10665
720	96108	10530
721	96224	10395
722	96364	10262
723	96508	10130
724	96643	9997
725	96769	9863
726	96891	9729
727	97012	9594
728	97133	9460
729	97316	9331
730	97493	9202
731	97639	9070
732	97813	8940
733	97969	8809
734	98105	8675
735	98229	8541
736	98353	8407
737	98511	8276
738	98669	8144
739	98825	8012
740	98971	7880
741	99141	7749
742	99278	7616
743	99435	7484
744	99563	7350
745	99716	7218
746	99862	7085
747	99990	6951
748	100117	6817
749	100252	6683
750	100396	6550
751	100528	6416
752	100645	6281
753	100766	6147
754	100884	6012
755	101016	5879
756	101133	5744
757	101274	5611
758	101430	5479
759	101568	5345
760	101694	5211
761	101820	5077
762	101944	4943
763	102079	4810
764	102220	4676
765	102351	4543
766	102474	4408
767	102616	4275
768	102799	4144
769	102957	4011
770	103114	3878
771	103256	3745
772	103397	3611
773	103541	3478
774	103664	3344
775	103801	3210
776	103934	3076
777	104071	2942
778	104194	2808
779	104323	2674
780	104447	2540
781	104569	2406
782	104707	2273
783	104827	2139
784	104950	2005
785	105082	1871
786	105215	1737
787	105338	1604
788	105469	1470
789	105607	1336
790	105729	1202
791	105875	1069
792	106010	935
793	106136	802
794	106261	668
795	106384	534
796	106507	400
797	106667	267
798	106818	133
799	106943	0
