iter	RMSE
0	118.9507163
1	116.4140903
2	114.1708723
3	112.408896
4	110.8843113
5	109.5124617
6	108.3740875
7	107.398631
8	106.3975234
9	105.7020502
10	105.1397697
11	104.4997768
12	103.9226367
13	103.4831629
14	103.0731989
15	102.5231638
16	102.1809634
17	101.7409116
18	101.3177171
19	101.0056936
20	100.7533063
21	100.4156942
22	100.2072094
23	100.0567162
24	99.77370016
25	99.62508135
26	99.41944087
27	99.20063348
28	99.0092423
29	98.84647968
30	98.54540633
31	98.3366351
32	98.24515163
33	98.07037032
34	97.95643812
35	97.7898512
36	97.56184907
37	97.28488955
38	97.11454805
39	96.89416845
40	96.77680249
41	96.59883991
42	96.47191646
43	96.37317387
44	96.2488469
45	96.01330606
46	95.90587441
47	95.75255921
48	95.59667149
49	95.46040191
50	95.28312978
51	95.17568498
52	95.09193077
53	95.00232651
54	94.86488825
55	94.7270935
56	94.55017438
57	94.40377866
58	94.26244218
59	94.10330622
60	94.02266362
61	93.96305635
62	93.81281282
63	93.60236815
64	93.49414219
65	93.41693082
66	93.34642518
67	93.16867699
68	93.05000819
69	92.96762697
70	92.88386226
71	92.80507847
72	92.6957727
73	92.6279656
74	92.54233968
75	92.4423139
76	92.31829084
77	92.171374
78	92.02051671
79	91.98522392
80	91.89443603
81	91.79176718
82	91.74111148
83	91.69262269
84	91.58702528
85	91.47662152
86	91.36231393
87	91.30154838
88	91.20825567
89	91.12973886
90	91.07606931
91	90.97885894
92	90.88855572
93	90.82523012
94	90.73513162
95	90.69093492
96	90.64613823
97	90.58081809
98	90.48719011
99	90.37166218
100	90.29100657
101	90.21824125
102	90.11830557
103	90.01622418
104	89.92295357
105	89.84554202
106	89.77386139
107	89.67594918
108	89.57907625
109	89.4421696
110	89.3257782
111	89.21180854
112	89.05556363
113	88.97626355
114	88.91230207
115	88.7543109
116	88.68993002
117	88.58936049
118	88.52318542
119	88.49470247
120	88.44041116
121	88.35130024
122	88.28045019
123	88.18047092
124	88.08418585
125	88.01630435
126	87.91534436
127	87.82072506
128	87.72218184
129	87.66549528
130	87.60583778
131	87.53513644
132	87.48054699
133	87.35192458
134	87.28248049
135	87.21126619
136	87.12952685
137	87.050067
138	86.98886724
139	86.8945207
140	86.81267822
141	86.69172185
142	86.65186076
143	86.55969124
144	86.41645896
145	86.33330907
146	86.29203575
147	86.20880766
148	86.12941298
149	86.08465413
150	86.04994605
151	86.00846864
152	85.95842581
153	85.85574893
154	85.75479464
155	85.69453634
156	85.6126256
157	85.56734701
158	85.48988067
159	85.42024769
160	85.33012319
161	85.24821826
162	85.1776611
163	85.10970877
164	85.07454518
165	85.00992884
166	84.98365336
167	84.90584072
168	84.84703362
169	84.77640667
170	84.72561869
171	84.59118757
172	84.51272437
173	84.42069107
174	84.30885859
175	84.25415228
176	84.18315592
177	84.10547865
178	84.01384672
179	83.95755667
180	83.92325287
181	83.85762159
182	83.81419939
183	83.71195473
184	83.67049454
185	83.60644071
186	83.54464658
187	83.48229218
188	83.42925342
189	83.4058011
190	83.35270211
191	83.30554829
192	83.24284743
193	83.18324841
194	83.12971005
195	83.0732127
196	83.04379237
197	83.01613162
198	82.97390165
199	82.888835
200	82.84392527
201	82.7821438
202	82.73832441
203	82.70479565
204	82.64222257
205	82.59869808
206	82.54139439
207	82.48875448
208	82.41178828
209	82.38179257
210	82.36025483
211	82.28292364
212	82.23181096
213	82.19851695
214	82.14831374
215	82.09562791
216	82.06875388
217	82.0295448
218	81.96592896
219	81.9278157
220	81.90736473
221	81.85787095
222	81.83961913
223	81.80111786
224	81.7458645
225	81.68704292
226	81.64613403
227	81.56641694
228	81.5359338
229	81.49288503
230	81.43775324
231	81.40566883
232	81.38573293
233	81.37222844
234	81.33894316
235	81.24917828
236	81.19906168
237	81.16183686
238	81.12881394
239	81.09322089
240	81.02705356
241	80.98950164
242	80.92409887
243	80.85316894
244	80.81956087
245	80.76186531
246	80.69371076
247	80.6551249
248	80.60599686
249	80.56111737
250	80.51941838
251	80.48029988
252	80.40040092
253	80.36471565
254	80.3380737
255	80.28685429
256	80.23074887
257	80.20041813
258	80.12393891
259	80.08116098
260	80.03931039
261	80.0052731
262	79.96078642
263	79.92348513
264	79.87414693
265	79.84120177
266	79.80300586
267	79.77931484
268	79.73979919
269	79.70829666
270	79.65956479
271	79.61927896
272	79.59718497
273	79.54203539
274	79.50742799
275	79.4626929
276	79.41109717
277	79.38087196
278	79.34582073
279	79.28054251
280	79.25979162
281	79.22705875
282	79.20221328
283	79.15553269
284	79.11457485
285	79.07900546
286	79.01622608
287	78.99274442
288	78.95131298
289	78.91228192
290	78.87455214
291	78.82861871
292	78.80223713
293	78.76342958
294	78.70369583
295	78.65761319
296	78.64235979
297	78.62048591
298	78.59684551
299	78.56157617
300	78.51826945
301	78.46426737
302	78.45119145
303	78.40353897
304	78.37576135
305	78.33437569
306	78.30702922
307	78.26987483
308	78.23216007
309	78.20490832
310	78.16417369
311	78.14586896
312	78.11307625
313	78.0616671
314	78.03073409
315	77.99685832
316	77.95484747
317	77.91944819
318	77.87632681
319	77.85458318
320	77.81017954
321	77.7577257
322	77.72914172
323	77.69859495
324	77.66690149
325	77.65062029
326	77.62115027
327	77.57675447
328	77.5190719
329	77.48475821
330	77.45417721
331	77.41640941
332	77.38182415
333	77.36684909
334	77.31696763
335	77.27242379
336	77.24698981
337	77.19799571
338	77.16169535
339	77.1419843
340	77.09816322
341	77.04603701
342	77.02353876
343	77.00166056
344	76.95806696
345	76.93222974
346	76.89319082
347	76.87736601
348	76.8467096
349	76.80175502
350	76.7710759
351	76.74040238
352	76.71372045
353	76.69381915
354	76.61254958
355	76.58236832
356	76.54963738
357	76.51923108
358	76.49870129
359	76.43809764
360	76.3490127
361	76.33521785
362	76.28862404
363	76.2570163
364	76.2416159
365	76.20656792
366	76.18921255
367	76.16856529
368	76.13969044
369	76.10651166
370	76.08034386
371	76.03658982
372	75.9921509
373	75.96147052
374	75.93074958
375	75.89642363
376	75.87008946
377	75.84060445
378	75.82135844
379	75.78979759
380	75.75859574
381	75.72085974
382	75.6855874
383	75.64495983
384	75.60965997
385	75.57858565
386	75.56559708
387	75.52924352
388	75.49521126
389	75.46983265
390	75.44005714
391	75.4070181
392	75.38095344
393	75.34063292
394	75.32458117
395	75.30276911
396	75.27586528
397	75.26303355
398	75.22729115
399	75.19562687
400	75.17097631
401	75.10663613
402	75.0958417
403	75.05739639
404	75.00642268
405	74.97283111
406	74.93859591
407	74.89089412
408	74.85582944
409	74.84064289
410	74.82214954
411	74.79393276
412	74.7675397
413	74.73643462
414	74.70178574
415	74.68829141
416	74.64106922
417	74.60070462
418	74.58490745
419	74.55407387
420	74.52394114
421	74.4975464
422	74.47021999
423	74.4232596
424	74.38702704
425	74.36025586
426	74.2927315
427	74.28000664
428	74.24075465
429	74.21284812
430	74.18726016
431	74.16120702
432	74.13631556
433	74.1181481
434	74.08539743
435	74.04436576
436	74.03192668
437	74.01901564
438	74.00616962
439	73.9824144
440	73.95328602
441	73.92632891
442	73.89491325
443	73.84440911
444	73.81824868
445	73.78019995
446	73.75113001
447	73.70746349
448	73.67190681
449	73.64750282
450	73.58241792
451	73.55634011
452	73.53659508
453	73.51059066
454	73.48663856
455	73.46242824
456	73.42304415
457	73.39534317
458	73.3632864
459	73.3412503
460	73.26223837
461	73.23328074
462	73.20109128
463	73.18171717
464	73.17035431
465	73.10660473
466	73.09075461
467	73.07493108
468	73.05584421
469	73.02624094
470	73.00633455
471	72.96901714
472	72.94790023
473	72.91407532
474	72.8998964
475	72.87013158
476	72.83474771
477	72.79512842
478	72.77140456
479	72.73551427
480	72.7154971
481	72.69647983
482	72.67895945
483	72.66200685
484	72.6228308
485	72.59436191
486	72.56186899
487	72.54068315
488	72.51716049
489	72.46805799
490	72.45119245
491	72.42224169
492	72.40838835
493	72.38299089
494	72.36251271
495	72.3402711
496	72.29915321
497	72.28282168
498	72.25124842
499	72.23377232
500	72.22009288
501	72.18627707
502	72.14779743
503	72.12611201
504	72.10213966
505	72.08394084
506	72.05747114
507	72.04135333
508	72.03181142
509	71.99862518
510	71.97777878
511	71.96301638
512	71.93190741
513	71.90832452
514	71.89345647
515	71.8756461
516	71.84753494
517	71.83276945
518	71.81981949
519	71.79694792
520	71.78396287
521	71.75998597
522	71.72824741
523	71.70267806
524	71.68734891
525	71.67708589
526	71.6383988
527	71.61466458
528	71.58706312
529	71.56927179
530	71.54675319
531	71.49722529
532	71.48219004
533	71.45821285
534	71.42636655
535	71.37735578
536	71.34850974
537	71.33059346
538	71.31908457
539	71.27466303
540	71.2461596
541	71.20876514
542	71.18899975
543	71.16564256
544	71.13579528
545	71.11669022
546	71.09989122
547	71.06973948
548	71.05865471
549	71.03965368
550	71.00872533
551	70.98632784
552	70.96300552
553	70.93711482
554	70.913073
555	70.88908809
556	70.87474543
557	70.8428026
558	70.82634377
559	70.78226999
560	70.77205527
561	70.74751771
562	70.72334475
563	70.69638215
564	70.66330734
565	70.65097273
566	70.61054597
567	70.58958674
568	70.56639436
569	70.53580589
570	70.50394814
571	70.4869492
572	70.46797936
573	70.4540497
574	70.42518081
575	70.40509118
576	70.38192497
577	70.36835116
578	70.35734964
579	70.33103334
580	70.30186117
581	70.27647358
582	70.25196565
583	70.21591847
584	70.20186567
585	70.18097408
586	70.16509255
587	70.14671682
588	70.13644476
589	70.10018783
590	70.06881259
591	70.04316497
592	70.02195693
593	70.00742296
594	69.97928121
595	69.9596861
596	69.94858584
597	69.93236871
598	69.91242587
599	69.89030588
600	69.8714299
601	69.85495422
602	69.84129379
603	69.83315961
604	69.81027654
605	69.80508519
606	69.7836181
607	69.76306782
608	69.74067992
609	69.71776453
610	69.69102417
611	69.66152388
612	69.64242769
613	69.62972087
614	69.59037576
615	69.56773224
616	69.54784879
617	69.51609229
618	69.49711857
619	69.49098666
620	69.46984176
621	69.45428578
622	69.43550288
623	69.41159356
624	69.39051619
625	69.36627901
626	69.342171
627	69.3144551
628	69.29547622
629	69.27168731
630	69.23991593
631	69.21746517
632	69.18355453
633	69.1716124
634	69.14743497
635	69.12425728
636	69.1112474
637	69.08654154
638	69.06583564
639	69.04621978
640	69.02904534
641	69.01275278
642	68.99939589
643	68.97921124
644	68.94588096
645	68.93288388
646	68.91156944
647	68.89427498
648	68.88206753
649	68.86000231
